[2026-07-22 08:18:02.838]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-open/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:02.913]	   "tmux-prefix-highlight" update fail
[2026-07-22 08:18:02.915]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-prefix-highlight/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:02.941]	   "tmux-continuum" update fail
[2026-07-22 08:18:02.943]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-continuum/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:03.026]	   "tmux-sensible" update fail
[2026-07-22 08:18:03.028]	     | 致命错误：无法访问 'https://github.com/tmux-plugins/tmux-sensible/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:03.168]	   "tmux" update fail
[2026-07-22 08:18:03.170]	     | 致命错误：无法访问 'https://github.com/catppuccin/tmux/'：TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
[2026-07-22 08:18:03.193]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/clean_plugins all
[2026-07-22 08:18:03.285]	 Removing "tmux"
[2026-07-22 08:18:03.291]	   "tmux" clean success
[2026-07-22 08:18:03.293]	 Removing "tmux-continuum"
[2026-07-22 08:18:03.301]	   "tmux-continuum" clean success
[2026-07-22 08:18:03.307]	 Removing "tmux-copycat"
[2026-07-22 08:18:03.315]	   "tmux-copycat" clean success
[2026-07-22 08:18:03.318]	 Removing "tmux-cpu"
[2026-07-22 08:18:03.321]	   "tmux-cpu" clean success
[2026-07-22 08:18:03.324]	 Removing "tmux-open"
[2026-07-22 08:18:03.326]	   "tmux-open" clean success
[2026-07-22 08:18:03.329]	 Removing "tmux-prefix-highlight"
[2026-07-22 08:18:03.338]	   "tmux-prefix-highlight" clean success
[2026-07-22 08:18:03.342]	 Removing "tmux-resurrect"
[2026-07-22 08:18:03.346]	   "tmux-resurrect" clean success
[2026-07-22 08:18:03.349]	 Removing "tmux-sensible"
[2026-07-22 08:18:03.354]	   "tmux-sensible" clean success
[2026-07-22 08:18:03.386]	 Done.

[2026-07-22 21:12:24.386]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-fzf tmux-plugins/tmux-open tmux-plugins/tmux-prefix-highlight tmux-plugins/tmux-quick-select tmux-plugins/tmux-sensible catppuccin/tmux
[2026-07-22 21:12:24.508]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/install_plugins
[2026-07-22 21:12:26.352]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-fzf tmux-plugins/tmux-open tmux-plugins/tmux-prefix-highlight tmux-plugins/tmux-quick-select tmux-plugins/tmux-sensible catppuccin/tmux
[2026-07-22 21:12:26.464]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/install_plugins
[2026-07-22 21:12:26.975]	 Already installed "tmux-continuum"
[2026-07-22 21:12:26.975]	 Already installed "tmux-cpu"
[2026-07-22 21:12:26.978]	 Installing "tmux-fzf"
[2026-07-22 21:12:26.982]	 Already installed "tmux-prefix-highlight"
[2026-07-22 21:12:26.989]	 Already installed "tmux-open"
[2026-07-22 21:12:26.990]	 Already installed "tmux"
[2026-07-22 21:12:26.991]	 Already installed "tmux-copycat"
[2026-07-22 21:12:26.994]	 Installing "tmux-quick-select"
[2026-07-22 21:12:27.000]	 Already installed "tmux-sensible"
[2026-07-22 21:12:27.292]	 Already installed "tmux-resurrect"
[2026-07-22 21:12:28.071]	   "tmux-quick-select" download fail
[2026-07-22 21:12:28.079]	   "tmux-fzf" download fail
[2026-07-22 21:12:28.175]	 Invoking /home/firefoxmmx/.tmux/plugins/tpm/bin/update_plugins all
[2026-07-22 21:12:24.754]	 Installing "tmux-fzf"
[2026-07-22 21:12:24.754]	 Installing "tmux-open"
[2026-07-22 21:12:24.754]	 Installing "tmux-copycat"
[2026-07-22 21:12:24.754]	 Installing "tmux-continuum"
[2026-07-22 21:12:24.754]	 Installing "tmux-cpu"
[2026-07-22 21:12:24.769]	 Installing "tmux-quick-select"
[2026-07-22 21:12:24.771]	 Installing "tmux"
